item_id,cloud_cover,snow_cover
S2B_MSIL2A_20260128T221659_R115_T05WMP_20260128T223833,64.703667,13.513842
S2B_MSIL2A_20260128T221659_R115_T05WMN_20260128T223833,54.761869,22.649157
S2B_MSIL2A_20260128T221659_R115_T05WMM_20260128T223833,28.3764,68.884987
S2B_MSIL2A_20260128T221659_R115_T05VLL_20260128T223833,36.110964,47.072491
S2B_MSIL2A_20260128T221659_R115_T05VLK_20260128T223833,99.481797,0.124666
S2B_MSIL2A_20260128T221659_R115_T04WFU_20260128T223833,44.314241,41.550443
S2B_MSIL2A_20260128T221659_R115_T04WFT_20260128T223833,36.656824,48.969254
S2B_MSIL2A_20260128T221659_R115_T04WFS_20260128T223833,10.607514,61.770737
S2B_MSIL2A_20260128T221659_R115_T04WEV_20260128T223833,16.926134,74.431944
S2B_MSIL2A_20260128T221659_R115_T04WEU_20260128T223833,13.724644,69.319874
S2B_MSIL2A_20260128T221659_R115_T04WET_20260128T223833,21.652037,58.205158
S2B_MSIL2A_20260128T221659_R115_T04WES_20260128T223833,45.083457,37.124711
S2B_MSIL2A_20260128T221659_R115_T04WDV_20260128T223833,1.019041,78.32762
S2B_MSIL2A_20260128T221659_R115_T04WDU_20260128T223833,31.81791,58.726114
S2B_MSIL2A_20260128T221659_R115_T04WDT_20260128T223833,88.509506,7.047283
S2B_MSIL2A_20260128T221659_R115_T04WDS_20260128T223833,93.174386,0.197328
S2B_MSIL2A_20260128T221659_R115_T04VFR_20260128T223833,36.32372,45.830315
S2B_MSIL2A_20260128T221659_R115_T04VFQ_20260128T223833,99.421173,0.011025
S2B_MSIL2A_20260128T221659_R115_T04VER_20260128T223833,79.016525,13.654497
S2B_MSIL2A_20260128T221659_R115_T04VEQ_20260128T223833,99.839598,0.018551
