item_id,cloud_cover,snow_cover
S2B_MSIL2A_20260126T231729_R087_T60VXP_20260126T233128,51.027101,0.000114
S2B_MSIL2A_20260126T231729_R087_T60VXN_20260126T233128,54.312843,5.9e-05
S2B_MSIL2A_20260126T231729_R087_T60VXM_20260126T233128,51.164114,0.000406
S2B_MSIL2A_20260126T231729_R087_T02WNU_20260126T233128,25.134215,72.463685
S2B_MSIL2A_20260126T231729_R087_T02WNS_20260126T233128,29.854468,0.0
S2B_MSIL2A_20260126T231729_R087_T02VNR_20260126T233128,27.513817,67.363548
S2B_MSIL2A_20260126T231729_R087_T02VMQ_20260126T233128,22.800182,0.0
S2B_MSIL2A_20260126T231729_R087_T02VMP_20260126T233128,4.75623,0.0
S2B_MSIL2A_20260126T231729_R087_T02VLR_20260126T233128,16.493151,0.0
S2B_MSIL2A_20260126T231729_R087_T02VLQ_20260126T233128,20.377424,0.0
S2B_MSIL2A_20260126T231729_R087_T02VLP_20260126T233128,11.112472,0.0
S2B_MSIL2A_20260126T231729_R087_T02VLN_20260126T233128,53.754908,9.405126
S2B_MSIL2A_20260126T231729_R087_T02VLM_20260126T233128,81.219172,0.000216
S2B_MSIL2A_20260126T231729_R087_T01WEP_20260126T233128,55.568451,41.039693
S2B_MSIL2A_20260126T231729_R087_T01WDM_20260126T233128,14.31032,0.0
S2B_MSIL2A_20260126T231729_R087_T01VFK_20260126T233128,18.937671,0.0
S2B_MSIL2A_20260126T231729_R087_T01VFJ_20260126T233128,11.543971,0.0
S2B_MSIL2A_20260126T231729_R087_T01VFH_20260126T233128,42.409956,0.0
S2B_MSIL2A_20260126T231729_R087_T01VFG_20260126T233128,76.881427,0.0
S2B_MSIL2A_20260126T231729_R087_T01VFF_20260126T233128,14.217943,0.0
